从1开始累计,值为“国家级”、“省级”、“城市级”、“区县级”,格式为“YYYY/MM/DD HH:MM”,格式为“YYYY/MM/DD HH:MM”,,参照规范文件填写，包含直辖市,参照规范文件填写,参照规范文件填写,不能填0,不能填0,不能填0,不能填0,不能填0,不能填0,不能填0,不能填0,需要是负数,需要是负数,,格式为“YYYY/MM/DD HH:MM”,所有内容，包括标题,,格式为“YYYY/MM/DD HH:MM”,,,格式为“YYYY/MM/DD HH:MM”,值为“手动”、“自动”,,值为“未核查”、“已核查”,格式为“YYYY/MM/DD HH:MM”,值为“手动”、“自动”,,值为“核查通过”、“核查未通过”,,格式为“YYYY/MM/DD HH:MM”,格式为“YYYY/MM/DD HH:MM”,值为“手动”、“自动”,,值为“核查通过”、“核查未通过”,
10,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,江门市,,2,,,,19,,,,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
11,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,肇庆市,,,,,,14,,,1,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
12,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,阳江市,,,,,,13,,,,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
13,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,梅州市,,,,,,13,,,,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
14,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,清远市,,,,,,10,,,,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
15,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,茂名市,,1,,,,10,,,,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
16,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,揭阳市,,,,,,7,,,,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
17,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,韶关市,,,,,,6,,,,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
18,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,汕尾市,,,,,,5,,,,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
19,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,潮州市,,,,,,5,,,,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
20,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,河源市,,,,,,3,,,,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
22,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,地区待确定,,,,18,,,,,,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
23,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,地区待确定,,,,,,,169,,,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
