公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,新增无症状感染人数,新增无症状感染治愈人数,新增无症状感染死亡人数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数,累计无症状感染人数,累计无症状感染治愈人数,累计无症状感染死亡人数
1月15日,省级,天津,,,,,,,,,,,,,,,,
1月15日,省级,西藏,,,,,,,,,,,,,,,,
1月15日,省级,香港,,,,,,,,,,,,,,,,
1月15日,省级,新疆,,,,,,,,,,,,,,,,
1月15日,省级,云南,,,,,,,,,,,,,,,,
1月15日,省级,浙江,,,,,,,,,,,,,,,,
1月15日,省级,重庆,,,,,,,,,,,,,,,,
1月15日,国家级,,,,5,1,,,,,,,,,,,,
1月15日,省级,北京,,,,,,,,,,,,,,,,
1月15日,省级,河南,,,,,,,,,,,,,,,,
1月15日,省级,广东,,,,,,,,,,,,,,,,
1月16日,省级,安徽,,,,,,,,,,,,,,,,
1月16日,省级,澳门,,,,,,,,,,,,,,,,
1月16日,省级,福建,,,,,,,,,,,,,,,,
1月16日,省级,甘肃,,,,,,,,,,,,,,,,
1月16日,省级,广西,,,,,,,,,,,,,,,,
1月16日,省级,贵州,,,,,,,,,,,,,,,,
1月16日,省级,海南,,,,,,,,,,,,,,,,
1月16日,省级,河北,,,,,,,,,,,,,,,,
1月16日,省级,黑龙江,,,,,,,,,,,,,,,,
1月16日,地区级,湖北,武汉,4,3,,,,,,,,,,,,,
1月16日,省级,湖北,,4,3,,,,,,,,,15,2,,,
1月16日,省级,湖南,,,,,,,,,,,,,,,,
1月16日,省级,吉林,,,,,,,,,,,,,,,,
1月16日,省级,江苏,,,,,,,,,,,,,,,,
1月16日,省级,江西,,,,,,,,,,,,,,,,
1月16日,省级,辽宁,,,,,,,,,,,,,,,,
1月16日,省级,内蒙古,,,,,,,,,,,,,,,,
1月16日,省级,宁夏,,,,,,,,,,,,,,,,
1月16日,省级,青海,,,,,,,,,,,,,,,,
1月16日,省级,山东,,,,,,,,,,,,,,,,
1月16日,省级,山西,,,,,,,,,,,,,,,,
1月16日,省级,陕西,,,,,,,,,,,,,,,,
1月16日,省级,上海,,,,,,,,,,,,,,,,
1月16日,省级,四川,,,,,,,,,,,,,,,,
1月16日,省级,台湾,,,,,,,,,,,,,,,,
1月16日,省级,天津,,,,,,,,,,,,,,,,
1月16日,省级,西藏,,,,,,,,,,,,,,,,
1月16日,省级,香港,,,,,,,,,,,,,,,,
1月16日,省级,新疆,,,,,,,,,,,,,,,,
1月16日,省级,云南,,,,,,,,,,,,,,,,
1月16日,省级,浙江,,,,,,,,,,,,,,,,
1月16日,省级,重庆,,,,,,,,,,,,,,,,
1月16日,国家级,,,4,3,,,,,,,,,,,,,
1月16日,省级,北京,,,,,,,,,,,,,,,,
1月16日,省级,河南,,,,,,,,,,,,,,,,
1月16日,省级,广东,,,,,,,,,,,,,,,,
1月17日,省级,安徽,,,,,,,,,,,,,,,,
1月17日,省级,澳门,,,,,,,,,,,,,,,,
1月17日,省级,福建,,,,,,,,,,,,,,,,
1月17日,省级,甘肃,,,,,,,,,,,,,,,,
1月17日,省级,广西,,,,,,,,,,,,,,,,
1月17日,省级,贵州,,,,,,,,,,,,,,,,
1月17日,省级,海南,,,,,,,,,,,,,,,,
1月17日,省级,河北,,,,,,,,,,,,,,,,
1月17日,省级,黑龙江,,,,,,,,,,,,,,,,
1月17日,地区级,湖北,武汉,17,4,,,,,,,,,,,,,
1月17日,省级,湖北,,17,4,,,,,,,,,19,2,,,
1月17日,省级,湖南,,,,,,,,,,,,,,,,
1月17日,省级,吉林,,,,,,,,,,,,,,,,
1月17日,省级,江苏,,,,,,,,,,,,,,,,
1月17日,省级,江西,,,,,,,,,,,,,,,,
1月17日,省级,辽宁,,,,,,,,,,,,,,,,
1月17日,省级,内蒙古,,,,,,,,,,,,,,,,
1月17日,省级,宁夏,,,,,,,,,,,,,,,,
1月17日,省级,青海,,,,,,,,,,,,,,,,
1月17日,省级,山东,,,,,,,,,,,,,,,,
1月17日,省级,山西,,,,,,,,,,,,,,,,
1月17日,省级,陕西,,,,,,,,,,,,,,,,
1月17日,省级,上海,,,,,,,,,,,,,,,,
1月17日,省级,四川,,,,,,,,,,,,,,,,
1月17日,省级,台湾,,,,,,,,,,,,,,,,
1月17日,省级,天津,,,,,,,,,,,,,,,,
1月17日,省级,西藏,,,,,,,,,,,,,,,,
1月17日,省级,香港,,,,,,,,,,,,,,,,
1月17日,省级,新疆,,,,,,,,,,,,,,,,
1月17日,省级,云南,,,,,,,,,,,,,,,,
1月17日,省级,浙江,,,,,,,,,,,,,,,,
1月17日,省级,重庆,,,,,,,,,,,,,,,,
1月17日,国家级,,,17,4,,,,,,,,,,,,,
1月17日,省级,北京,,,,,,,,,,,,,,,,
1月17日,省级,河南,,,,,,,,,,,,,,,,
1月17日,省级,广东,,,,,,,,,,,,,,,,
1月18日,省级,安徽,,,,,,,,,,,,,,,,
1月18日,省级,澳门,,,,,,,,,,,,,,,,
1月18日,省级,福建,,,,,,,,,,,,,,,,
1月18日,省级,甘肃,,,,,,,,,,,,,,,,
1月18日,省级,广西,,,,,,,,,,,,,,,,
1月18日,省级,贵州,,,,,,,,,,,,,,,,
1月18日,省级,海南,,,,,,,,,,,,,,,,
1月18日,省级,河北,,,,,,,,,,,,,,,,
1月18日,省级,黑龙江,,,,,,,,,,,,,,,,
1月18日,地区级,湖北,武汉,59,5,1,,,,,,,,,,,,
1月18日,省级,湖北,,59,5,1,,,,,,,,24,3,,,
1月18日,省级,湖南,,,,,,,,,,,,,,,,
1月18日,省级,吉林,,,,,,,,,,,,,,,,
1月18日,省级,江苏,,,,,,,,,,,,,,,,
1月18日,省级,江西,,,,,,,,,,,,,,,,
1月18日,省级,辽宁,,,,,,,,,,,,,,,,
1月18日,省级,内蒙古,,,,,,,,,,,,,,,,
1月18日,省级,宁夏,,,,,,,,,,,,,,,,
1月18日,省级,青海,,,,,,,,,,,,,,,,
1月18日,省级,山东,,,,,,,,,,,,,,,,
1月18日,省级,山西,,,,,,,,,,,,,,,,
1月18日,省级,陕西,,,,,,,,,,,,,,,,
1月18日,省级,上海,,,,,,,,,,,,,,,,
1月18日,省级,四川,,,,,,,,,,,,,,,,
1月18日,省级,台湾,,,,,,,,,,,,,,,,
1月18日,省级,天津,,,,,,,,,,,,,,,,
1月18日,省级,西藏,,,,,,,,,,,,,,,,
1月18日,省级,香港,,,,,,,,,,,,,,,,
1月18日,省级,新疆,,,,,,,,,,,,,,,,
1月18日,省级,云南,,,,,,,,,,,,,,,,
1月18日,省级,浙江,,,,,,,,,,,,,,,,
1月18日,省级,重庆,,,,,,,,,,,,,,,,
1月18日,国家级,,,59,5,1,,,,,,,,,,,,
1月18日,省级,北京,,,,,,,,,,,,,,,,
1月18日,省级,河南,,,,,,,,,,,,,,,,
1月18日,省级,广东,,,,,,,,,,,,,,,,
1月19日,省级,安徽,,,,,,,,,,,,,,,,
1月19日,省级,澳门,,,,,,,,,,,,,,,,
1月19日,省级,福建,,,,,,,,,,,,,,,,
1月19日,省级,甘肃,,,,,,,,,,,,,,,,
1月19日,省级,广西,,,,,,,,,,,,,,,,
1月19日,省级,贵州,,,,,,,,,,,,,,,,
1月19日,省级,海南,,,,,,,,,,,,,,,,
1月19日,省级,河北,,,,,,,,,,,,,,,,
1月19日,省级,黑龙江,,,,,,,,,,,,,,,,
1月19日,地区级,湖北,武汉,77,1,1,,,,,,,,,,,,
1月19日,省级,湖北,,77,1,1,,,,,,,,25,4,,,
1月19日,省级,湖南,,,,,,,,,,,,,,,,
1月19日,省级,吉林,,,,,,,,,,,,,,,,
1月19日,省级,江苏,,,,,,,,,,,,,,,,
1月19日,省级,江西,,,,,,,,,,,,,,,,
1月19日,省级,辽宁,,,,,,,,,,,,,,,,
1月19日,省级,内蒙古,,,,,,,,,,,,,,,,
1月19日,省级,宁夏,,,,,,,,,,,,,,,,
1月19日,省级,青海,,,,,,,,,,,,,,,,
1月19日,省级,山东,,,,,,,,,,,,,,,,
1月19日,省级,山西,,,,,,,,,,,,,,,,
1月19日,省级,陕西,,,,,,,,,,,,,,,,
1月19日,地区级,上海,地区待确认,,,,,,,,,,,,,,,
1月19日,省级,上海,,,,,,,,,,,,,,,,
1月19日,地区级,四川,成都,,,,,,,,,,,,,,,
1月19日,省级,四川,,,,,,,,,,,,,,,,
1月19日,省级,台湾,,,,,,,,,,,,,,,,
1月19日,省级,天津,,,,,,,,,,,,,,,,
1月19日,省级,西藏,,,,,,,,,,,,,,,,
1月19日,省级,香港,,,,,,,,,,,,,,,,
1月19日,省级,新疆,,,,,,,,,,,,,,,,
1月19日,省级,云南,,,,,,,,,,,,,,,,
1月19日,省级,浙江,,,,,,,,,,,,,,,,
1月19日,省级,重庆,,,,,,,,,,,,,,,,
1月19日,国家级,,,77,1,,,,,,,,,,,,,
1月19日,地区级,北京,大兴,2,,,,,,,,,,,,,,
1月19日,省级,北京,,2,,,,,,,,,,,,,,
1月19日,省级,河南,,,,,,,,,,,,,,,,
1月19日,地区级,广东,深圳,1,,,,,,,,,,,,,,
1月19日,省级,广东,,1,,,,,,,,,,,,,,
1月20日,省级,安徽,,,,,,,,,,,,,,,,
1月20日,省级,澳门,,,,,,,,,,,,,,,,
1月20日,省级,福建,,,,,,,,,,,,,,,,
1月20日,省级,甘肃,,,,,,,,,,,,,,,,
1月20日,省级,广西,,,,,,,,,,,,,,,,
1月20日,省级,贵州,,,,,,,,,,,,,,,,
1月20日,省级,海南,,,,,,,,,,,,,,,,
1月20日,省级,河北,,,,,,,,,,,,,,,,
1月20日,地区级,黑龙江,牡丹江,,,,,,,,,,,,,,,
1月20日,省级,黑龙江,,,,,,,,,,,,,,,,
1月20日,地区级,湖北,黄冈,12,,,,,,,,,,,,,,
1月20日,地区级,湖北,武汉,60,,2,,,,,,,,,,,,
1月20日,省级,湖北,,72,,2,,,,,,,,25,6,,,
1月20日,省级,湖南,,,,,,,,,,,,,,,,
1月20日,省级,吉林,,,,,,,,,,,,,,,,
1月20日,省级,江苏,,,,,,,,,,,,,,,,
1月20日,省级,江西,,,,,,,,,,,,,,,,
1月20日,省级,辽宁,,,,,,,,,,,,,,,,
1月20日,省级,内蒙古,,,,,,,,,,,,,,,,
1月20日,省级,宁夏,,,,,,,,,,,,,,,,
1月20日,省级,青海,,,,,,,,,,,,,,,,
1月20日,省级,山东,,,,,,,,,,,,,,,,
1月20日,省级,山西,,,,,,,,,,,,,,,,
1月20日,省级,陕西,,,,,,,,,,,,,,,,
1月20日,地区级,上海,地区待确认,1,,,,,,,,,,,,,,
1月20日,地区级,上海,外地来沪,1,,,,,,,,,,,,,,
1月20日,省级,上海,,2,,,,,,,,,,,,,,
1月20日,地区级,四川,成都,,,,,,,,,,,,,,,
1月20日,省级,四川,,,,,,,,,,,,,,,,
1月20日,省级,台湾,,,,,,,,,,,,,,,,
1月20日,省级,天津,,,,,,,,,,,,,,,,
1月20日,省级,西藏,,,,,,,,,,,,,,,,
1月20日,地区级,香港,香港,,,,,,,,,,,,,,,
1月20日,省级,香港,,,,,,,,,,,,,,,,
1月20日,省级,新疆,,,,,,,,,,,,,,,,
1月20日,省级,云南,,,,,,,,,,,,,,,,
1月20日,地区级,浙江,杭州,1,,,,,,,,,,,,,,
1月20日,地区级,浙江,台州,1,,,,,,,,,,,,,,
1月20日,地区级,浙江,温州,2,,,,,,,,,,,,,,
1月20日,地区级,浙江,舟山,1,,,,,,,,,,,,,,
1月20日,省级,浙江,,5,,,,,,,,,,,,,,
1月20日,省级,重庆,,,,,,,,,,,,,,,,
1月20日,国家级,,,93,,,,,,,,,,,,,,
1月20日,地区级,北京,昌平,2,,,,,,,,,,,,,,
1月20日,地区级,北京,外地来京,1,,,,,,,,,,,,,,
1月20日,省级,北京,,3,,,,,,,,,,,,,,
1月20日,省级,河南,,,,,,,,,,,,,,,,
1月20日,地区级,广东,惠州,1,,,,,,,,,,,,,,
1月20日,地区级,广东,深圳,8,,,,,,,,,,,,,,
1月20日,地区级,广东,湛江,1,,,,,,,,,,,,,,
1月20日,地区级,广东,珠海,3,,,,,,,,,,,,,,
1月20日,省级,广东,,13,,,,,,,,,,,,,,
1月21日,地区级,安徽,合肥,1,,,,,,,,,,,,,,
1月21日,省级,安徽,,1,,,,,,,,,,,,,,
1月21日,地区级,澳门,澳门,,,,,,,,,,,,,,,
1月21日,省级,澳门,,,,,,,,,,,,,,,,
1月21日,省级,福建,,,,,,,,,,,,,,,,
1月21日,省级,甘肃,,,,,,,,,,,,,,,,
1月21日,省级,广西,,,,,,,,,,,,,,,,
1月21日,省级,贵州,,,,,,,,,,,,,,,,
1月21日,省级,海南,,,,,,,,,,,,,,,,
1月21日,省级,河北,,,,,,,,,,,,,,,,
1月21日,省级,黑龙江,,,,,,,,,,,,,,,,
1月21日,地区级,湖北,武汉,105,3,3,,,,,,,,,,,,
1月21日,省级,湖北,,105,3,3,,,,,,,,28,9,,,
1月21日,地区级,湖南,长沙,1,,,,,,,,,,,,,,
1月21日,省级,湖南,,1,,,,,,,,,,,,,,
1月21日,省级,吉林,,,,,,,,,,,,,,,,
1月21日,地区级,江苏,扬州,,,,,,,,,,,,,,,
1月21日,省级,江苏,,,,,,,,,,,,,,,,
1月21日,地区级,江西,抚州,1,,,,,,,,,,,,,,
1月21日,地区级,江西,萍乡,1,,,,,,,,,,,,,,
1月21日,省级,江西,,2,,,,,,,,,,,,,,
1月21日,地区级,辽宁,沈阳,,,,,,,,,,,,,,,
1月21日,省级,辽宁,,,,,,,,,,,,,,,,
1月21日,省级,内蒙古,,,,,,,,,,,,,,,,
1月21日,地区级,宁夏,银川,1,,,,,,,,,,,,,,
1月21日,省级,宁夏,,1,,,,,,,,,,,,,,
1月21日,省级,青海,,,,,,,,,,,,,,,,
1月21日,地区级,山东,青岛,1,,,,,,,,,,,,,,
1月21日,地区级,山东,威海,1,,,,,,,,,,,,,,
1月21日,省级,山东,,2,,,,,,,,,,,,,,
1月21日,省级,山西,,,,,,,,,,,,,,,,
1月21日,省级,陕西,,,,,,,,,,,,,,,,
1月21日,地区级,上海,地区待确认,7,,,,,,,,,,,,,,
1月21日,省级,上海,,7,,,,,,,,,,,,,,
1月21日,地区级,四川,成都,1,,,,,,,,,,,,,,
1月21日,地区级,四川,广安,1,,,,,,,,,,,,,,
1月21日,省级,四川,,2,,,,,,,,,,,,,,
1月21日,地区级,台湾,台湾,1,,,,,,,,,,,,,,
1月21日,省级,台湾,,1,,,,,,,,,,,,,,
1月21日,地区级,天津,西青区,1,,,,,,,,,,,,,,
1月21日,地区级,天津,河东区,1,,,,,,,,,,,,,,
1月21日,省级,天津,,2,,,,,,,,,,,,,,
1月21日,省级,西藏,,,,,,,,,,,,,,,,
1月21日,地区级,香港,香港,,,,,,,,,,,,,,,
1月21日,省级,香港,,,,,,,,,,,,,,,,
1月21日,省级,新疆,,,,,,,,,,,,,,,,
1月21日,地区级,云南,昆明,1,,,,,,,,,,,,,,
1月21日,省级,云南,,1,,,,,,,,,,,,,,
1月21日,地区级,浙江,宁波,3,,,,,,,,,,,,,,
1月21日,地区级,浙江,温州,2,,,,,,,,,,,,,,
1月21日,省级,浙江,,5,,,,,,,,,,,,,,
1月21日,地区级,重庆,垫江县,1,,,,,,,,,,,,,,
1月21日,地区级,重庆,万州区,2,,,,,,,,,,,,,,
1月21日,地区级,重庆,巫山县,2,,,,,,,,,,,,,,
1月21日,地区级,重庆,长寿区,1,,,,,,,,,,,,,,
1月21日,省级,重庆,,6,,,,,,,,,,,,,,
1月21日,国家级,,,149,,,,,,,,,,,,,,
1月21日,地区级,北京,丰台,1,,,,,,,,,,,,,,
1月21日,地区级,北京,海淀,2,,,,,,,,,,,,,,
1月21日,地区级,北京,通州,1,,,,,,,,,,,,,,
1月21日,地区级,北京,西城,1,,,,,,,,,,,,,,
1月21日,省级,北京,,5,,,,,,,,,,,,,,
1月21日,地区级,河南,郑州,1,,,,,,,,,,,,,,
1月21日,省级,河南,,1,,,,,,,,,,,,,,
